id,name,school
2283,b12705064,資管二
2284,b12705063,資管二
2285,b12705012,資管二
2286,b12705014,資管二
2287,b12705049,資管二
2288,b12705048,資管二
2289,b12705051,資管二
2290,b12705065,資管二
2291,b13705022,資管一
2292,b13705031,資管一
2293,b12705066,資管二
