id,name,school
2283,b12705064,ntuim
2284,b12705063,ntuim
2285,b12705012,ntuim
2286,b12705014,ntuim
2287,b12705049,ntuim
2288,b12705048,ntuim
2289,b12705051,ntuim
2290,b12705065,ntuim
2291,b13705022,ntuim
2292,b13705031,ntuim
2293,b12705066,ntuim
